Feature,Area (um^2),Roundness,CentroidX (um),CentroidY (um),First Moment of Area (um^3),Eccentricity,Equivalent Diameter (um),Nearest Neighbor Distance (um),Average Neighbor Distance (um),,,avg,st dev
3622,26.12895,1.032845,13717.96917,5020.140352,50.286442,0.274494,5.767878,183.051609,294.148555,,,,
3663,26.12895,1.032845,13882.23265,4130.198337,50.333302,0.358065,5.767878,85.473379,240.015243,,,,
481,41.300598,1.032702,2368.235137,2733.723477,99.665107,0.200762,7.25159,145.640551,236.905045,,,,
1764,41.300598,1.032702,6861.64712,4905.939376,99.798857,0.231452,7.25159,72.681533,248.963246,,,,
2114,40.879163,1.031839,8096.57296,4113.20448,98.110393,0,7.214497,57.277506,232.618494,,,,
20,21.493168,1.031752,640.880679,7478.999116,37.471701,0.319778,5.231248,55.165353,149.51097,,,,
1819,25.707515,1.031475,7100.08166,5057.3889,48.989778,0.357698,5.721173,9.530474,71.27932,,,,
411,29.921862,1.031276,2183.420925,5070.379245,61.619284,0.222454,6.172333,60.433274,154.265505,,,,
638,29.921862,1.031276,3003.655283,1689.458948,61.588621,0.349803,6.172333,172.698981,245.018073,,,,
2000,34.136208,1.031126,7723.005936,4222.122458,75.023028,0.192673,6.592691,75.433542,184.72099,,,,
851,38.350555,1.031009,3869.76198,6243.90598,89.334441,0.275282,6.987807,42.401674,141.437384,,,,
3177,38.350555,1.031009,11865.16273,5550.845692,89.548548,0.226482,6.987807,73.829461,161.182154,,,,
46,31.6076,1.030065,838.550134,6063.730708,66.917093,0.298362,6.34382,31.394676,121.890022,,,,
1806,31.6076,1.030065,7039.604051,1730.523454,66.848031,0.351308,6.34382,125.929145,245.54418,,,,
2614,31.6076,1.030065,9913.471977,5743.208903,66.916243,0.18288,6.34382,40.538575,138.804527,,,,
3548,31.6076,1.030065,13394.20202,4867.309279,66.886584,0.228691,6.34382,50.00138,91.690707,,,,
3354,43.829206,1.02924,12609.04187,7126.304787,109.102593,0.200057,7.47028,146.823701,186.804565,,,,
276,45.514945,1.028479,1688.625377,7432.197339,115.519461,0.238044,7.612583,61.853442,196.159188,,,,
883,22.757472,1.028479,4001.942241,1517.386119,40.767835,0.36539,5.382909,66.0226,170.786132,,,,
1122,22.757472,1.028479,4729.504715,2699.326506,40.93735,0.382646,5.382909,104.115387,158.426537,,,,
1915,22.757472,1.028479,7456.854157,5571.803743,40.932029,0.344935,5.382909,48.546549,157.694095,,,,
3050,45.514945,1.028479,11419.26855,6132.406739,115.599649,0.277098,7.612583,231.127031,360.865284,,,,
3085,22.757472,1.028479,11529.02806,3009.27389,40.782501,0.214499,5.382909,147.605842,231.973382,,,,
3662,22.757472,1.028479,13877.91758,4697.779048,40.789884,0.053883,5.382909,80.318077,201.014318,,,,
1758,74.172502,1.028119,6823.538357,3274.4381,240.087009,0.145937,9.717992,126.246472,233.680935,,,,
1967,28.657558,1.027549,7625.783805,1878.965589,57.738947,0.142259,6.040524,105.152517,261.388957,,,,
308,40.879163,1.02742,1790.451825,3976.428277,98.333801,0.110585,7.214497,101.408897,214.787355,,,,
2408,40.879163,1.02742,9286.004572,2818.578938,98.318333,0.230159,7.214497,86.039991,168.259748,,,,
364,20.228864,1.026506,2039.669462,4943.235208,34.316637,0.345142,5.075056,170.221319,241.929226,,,,
529,20.228864,1.026506,2551.385597,4060.039343,34.215227,0.282024,5.075056,172.074615,278.99291,,,,
538,20.228864,1.026506,2604.023275,2718.76584,34.21873,0.453588,5.075056,27.611324,128.773755,,,,
778,20.228864,1.026506,3559.994923,6938.043627,34.279355,0.10403,5.075056,105.609803,127.71969,,,,
1056,20.228864,1.026506,4491.297732,7306.277457,34.321788,0.46645,5.075056,64.808754,183.036739,,,,
2230,20.228864,1.026506,8525.383399,1644.629907,34.268374,0.382348,5.075056,89.315884,141.416173,,,,
3198,20.228864,1.026506,11953.09437,1467.011554,34.396372,0.146345,5.075056,82.679128,160.938065,,,,
3421,20.228864,1.026506,12910.89184,3016.577165,34.21873,0.453588,5.075056,164.613226,201.453136,,,,
3671,20.228864,1.026506,13927.92698,3659.116595,34.323651,0.46244,5.075056,34.450335,112.812647,,,,
3740,20.228864,1.026506,14218.5838,7473.18434,34.235269,0.374827,5.075056,133.74292,232.485616,,,,
3745,20.228864,1.026506,14247.851,3550.649436,34.354531,0.442883,5.075056,78.253151,113.996919,,,,
3798,20.228864,1.026506,14506.18407,7490.495807,34.250691,0.318444,5.075056,54.997672,173.592192,,,,
3854,20.228864,1.026506,14885.6974,7191.129155,34.21873,0.453588,5.075056,46.103923,185.13853,,,,
1242,64.479505,1.02616,5146.44446,5691.450163,195.00781,0.117809,9.060787,31.331893,49.178953,,,,
2741,34.136208,1.025852,10278.2265,1395.496563,74.966145,0.18203,6.592691,46.809399,163.145148,,,,
3316,51.836465,1.025214,12420.20148,2039.322441,140.376099,0.219636,8.124053,120.261322,267.999947,,,,
150,27.814688,1.024901,1294.5141,7246.107816,55.176347,0.326853,5.95103,64.430854,161.864625,,,,
273,27.814688,1.024901,1682.212265,4351.227311,55.409541,0.33327,5.95103,39.956974,93.990901,,,,
514,55.629377,1.024901,2491.980709,6328.767295,156.064379,0.139858,8.416028,43.908578,151.366399,,,,
1142,27.814688,1.024901,4776.105785,3140.644315,55.105576,0.372763,5.95103,60.793988,140.91014,,,,
2279,27.814688,1.024901,8685.339876,1779.304019,55.060859,0.245208,5.95103,131.394372,177.124081,,,,
2447,27.814688,1.024901,9429.359172,3688.64076,55.084087,0.235431,5.95103,54.676312,148.336897,,,,
2914,27.814688,1.024901,10808.94536,2575.985584,55.060859,0.245208,5.95103,172.031936,230.894627,,,,
1245,47.622118,1.024788,5150.197718,1715.742525,123.6832,0.266623,7.786807,26.156208,206.639736,,,,
2922,47.622118,1.024788,10830.05163,5704.580203,123.602867,0.246789,7.786807,37.435758,128.148647,,,,
991,33.714774,1.024741,4303.08963,6898.917008,73.590198,0.29617,6.551869,157.958759,190.030331,,,,
1830,25.707515,1.024481,7139.03246,5362.929191,49.189931,0.44117,5.721173,84.613768,168.620485,,,,
2612,43.407771,1.02428,9906.55613,1978.183817,107.554588,0.198905,7.434278,179.648182,264.739419,,,,
1140,23.600342,1.023987,4769.374757,1280.577105,43.139662,0.417223,5.481687,81.169176,207.629595,,,,
1442,23.600342,1.023987,5874.371857,2275.155642,43.189927,0.423818,5.481687,51.940877,122.079681,,,,
1677,23.600342,1.023987,6634.863043,4436.716377,43.151899,0.349487,5.481687,64.060461,273.161915,,,,
2407,29.500427,1.023987,9282.216764,6704.573382,60.315872,0.323283,6.128712,60.546521,217.348349,,,,
3121,23.600342,1.023987,11674.18076,5365.716142,43.190445,0.32489,5.481687,47.025351,131.196624,,,,
3211,23.600342,1.023987,12011.2211,3736.993078,43.124044,0.246894,5.481687,22.82211,106.336682,,,,
1004,45.09351,1.023706,4353.668033,7117.439641,114.011553,0.198794,7.577258,46.084518,123.165347,,,,
832,39.193425,1.023664,3780.66377,1176.293219,92.272659,0.263803,7.064179,109.465524,210.950521,,,,
3630,31.186166,1.023174,13757.03656,1773.445715,65.600692,0.256057,6.301386,113.531929,226.273161,,,,
2683,25.28608,1.022985,10121.75489,1229.503641,47.803421,0.313979,5.674085,45.5124,131.558765,,,,
3155,25.28608,1.022985,11784.56454,1349.96981,47.769848,0.435926,5.674085,68.896045,123.413784,,,,
2592,40.457729,1.02211,9832.459993,1487.196995,96.70589,0.305942,7.177213,34.655916,157.469603,,,,
2297,34.557643,1.021791,8748.555518,6055.218533,76.374321,0.291414,6.633261,108.566545,182.271762,,,,
225,21.071734,1.021586,1547.229645,2017.924096,36.463148,0.375505,5.179707,112.176373,369.338087,,,,
1426,42.143467,1.021586,5808.278378,2820.43392,102.889943,0.144392,7.325212,106.020939,158.118799,,,,
2752,21.071734,1.021586,10294.30693,6421.026396,36.713021,0.34798,5.179707,50.718,85.014938,,,,
3052,21.071734,1.021586,11424.30859,1185.117041,36.498864,0.389613,5.179707,160.730096,234.133118,,,,
36,47.200683,1.020243,765.696217,7428.161002,122.033683,0.278788,7.752276,134.771779,195.279738,,,,
784,47.200683,1.020243,3583.050474,1026.017398,122.105756,0.24233,7.752276,106.410496,164.291996,,,,
